datetime,instrument,score
2024-12-16,SH600196,0.015178950469883783
2024-12-16,SH600027,0.014993167914902636
2024-12-16,SH601877,0.014928350086040154
2024-12-16,SZ002007,0.014889500265659876
2024-12-16,SH688223,0.014765047641906635
2024-12-16,SZ002493,0.014689866370130094
2024-12-16,SH688187,0.014543446243717981
2024-12-16,SZ000733,0.014356160134544434
2024-12-16,SH603296,0.0133399021416581
2024-12-16,SZ000157,0.01324708152859726
2024-12-16,SH601225,0.013214767037841042
2024-12-16,SZ001289,0.013140235286423186
2024-12-16,SH601009,0.013123137333422054
2024-12-16,SZ000001,0.012815176804218892
2024-12-16,SZ300896,0.012571737270156843
2024-12-16,SH601985,0.01222476040779145
2024-12-16,SH600887,0.01207556438373804
2024-12-16,SH600309,0.011996502713443716
2024-12-16,SH600176,0.011884414595252784
2024-12-16,SZ002714,0.011672467581341594
2024-12-16,SZ000568,0.011131130474232368
2024-12-16,SZ002252,0.01106846178408589
2024-12-16,SH601390,0.010912664619823695
2024-12-16,SH601236,0.010645963839121
2024-12-16,SH601698,0.010515603859938195
2024-12-16,SH600188,0.010385224370112503
2024-12-16,SH601377,0.010246468978734092
2024-12-16,SH600011,0.009949238266310459
2024-12-16,SH601878,0.00993187068976793
2024-12-16,SH601868,0.00977832887260543
2024-12-16,SH688396,0.009707547556387306
2024-12-16,SH600958,0.009239484389629678
2024-12-16,SH601618,0.009233978597755176
2024-12-16,SH600893,0.009068310939871975
2024-12-16,SZ000538,0.008669969330839614
2024-12-16,SH600015,0.008666477026791432
2024-12-16,SH600028,0.008391992201021697
2024-12-16,SH601006,0.0082281455242176
2024-12-16,SH601021,0.007802891241801768
2024-12-16,SH600690,0.007745696983852321
2024-12-16,SH603993,0.007515099014052216
2024-12-16,SZ000858,0.0074741467234304545
2024-12-16,SZ301269,0.007447013995971368
2024-12-16,SZ300628,0.007322045601717943
2024-12-16,SZ002311,0.007073003106543624
2024-12-16,SH600039,0.007054211703352471
2024-12-16,SH600919,0.006894622951738602
2024-12-16,SH600989,0.006719816991386414
2024-12-16,SH601100,0.006630807167164093
2024-12-16,SH600795,0.006486629866997067
2024-12-16,SH601186,0.006036505297218176
2024-12-16,SH600016,0.006030731491533007
2024-12-16,SZ000895,0.005956903147983566
2024-12-16,SZ000876,0.005512076232663504
2024-12-16,SZ002352,0.005191255735151842
2024-12-16,SZ002594,0.004772385266743057
2024-12-16,SH601211,0.00475586995301259
2024-12-16,SH600905,0.0046968921668794775
2024-12-16,SH600332,0.00453511521264628
2024-12-16,SH601288,0.004436154596490743
2024-12-16,SZ000983,0.0041075301768912255
2024-12-16,SH600875,0.003735121712240874
2024-12-16,SH600741,0.0036454192395539366
2024-12-16,SH600519,0.002553152291828285
2024-12-16,SH600346,0.0024315946954529574
2024-12-16,SH600570,0.0023782025883447373
2024-12-16,SZ000338,0.0022842132247195557
2024-12-16,SZ300347,0.002012820849387216
2024-12-16,SH601633,0.0019084887671772105
2024-12-16,SH688561,0.0015607750488290518
2024-12-16,SH603392,0.001538081454485497
2024-12-16,SH600489,0.001371043618544589
2024-12-16,SH601857,0.001312516457024107
2024-12-16,SH601059,0.0011517394831369017
2024-12-16,SH601939,0.0008824923449604484
2024-12-16,SZ002074,0.0006525062577785103
2024-12-16,SZ002142,0.0002740383981106565
2024-12-16,SH600372,1.0460702840465339e-05
2024-12-16,SH600732,9.541434610284462e-07
2024-12-16,SH601615,9.100295089998355e-07
2024-12-16,SH600745,8.93300522505122e-07
2024-12-16,SZ300033,8.691759000938669e-07
2024-12-16,SH600029,8.572939205023409e-07
2024-12-16,SH601111,8.445557113502252e-07
2024-12-16,SH600606,8.344073759247769e-07
2024-12-16,SH601360,8.195259432676387e-07
2024-12-16,SH600438,8.160886357791661e-07
2024-12-16,SH601865,8.002063477621138e-07
2024-12-16,SZ002129,7.939256707078698e-07
2024-12-16,SH688303,7.820932981102398e-07
2024-12-16,SZ002459,7.712802328866936e-07
2024-12-16,SZ300450,7.272213870353657e-07
2024-12-16,SZ002460,7.092369162500386e-07
2024-12-16,SZ300142,6.937847854809591e-07
2024-12-16,SZ300782,6.82924357510776e-07
2024-12-16,SZ300418,6.787341389497298e-07
2024-12-16,SH603833,6.768293553430822e-07
2024-12-16,SH601689,6.55254999797622e-07
2024-12-16,SH601155,6.212621113047154e-07
2024-12-16,SH603501,6.105691335758805e-07
2024-12-16,SH600048,6.069306878355253e-07
2024-12-16,SH603659,5.863275235319985e-07
2024-12-16,SH688981,5.849339739170703e-07
2024-12-16,SZ000792,5.847693174692079e-07
2024-12-16,SH600584,5.656216284956863e-07
2024-12-16,SZ002709,5.575495814599581e-07
2024-12-16,SZ000069,5.549504616887119e-07
2024-12-16,SH600115,5.517158490271064e-07
2024-12-16,SZ000963,5.436812039667268e-07
2024-12-16,SZ002466,5.435641308643321e-07
2024-12-16,SZ002812,5.312362880215338e-07
2024-12-16,SH688036,5.276198222969164e-07
2024-12-16,SZ300308,5.0528825216289e-07
2024-12-16,SZ000002,4.879429357372831e-07
2024-12-16,SH600460,4.875134414361961e-07
2024-12-16,SH688012,4.872266392207476e-07
