instrument,score,label
SZ002007,0.12311138,-0.030812383
SH601728,0.12304185,-0.0016639233
SH688561,0.122997165,0.009588599
SZ002074,0.12294687,-0.007763982
SZ002202,0.122808516,0.09980047
SH601229,0.12265228,-0.011111081
SZ002555,0.12258305,-0.00057935715
SZ000877,0.12246597,0.017492652
SH600104,0.122414544,0.019138694
SZ002271,0.12238093,0.04874754
SH600436,0.1223318,0.05535996
SH601225,0.1223211,-0.0016181469
SH603392,0.122318685,0.013056874
SH600547,0.122250155,0.051328063
SZ002001,0.12218459,0.02974832
SH688009,0.122155026,-0.066213965
SH600010,0.12186217,0.006622553
SZ000333,0.12150617,-0.0063523054
SZ300347,0.12150411,0.017030716
SH601688,0.12140757,-0.013720751
SZ002241,0.12129505,-0.006756723
SZ002230,0.1212749,0.09991002
SZ002180,0.121214405,-0.02216661
SZ300223,0.12104297,0.0077273846
SZ000408,0.12099886,0.005752206
SZ000768,0.12091155,0.007647276
SZ000708,0.1208716,-0.008084059
SZ000596,0.120667785,-0.04522109
SH600009,0.12064116,0.0145590305
SH600918,0.12062335,-0.026548684
SH600732,0.12061003,0.0699029
SH603290,0.12057747,-0.005135596
SH601088,0.12056635,0.015652657
SH600588,0.1204986,-0.0023866296
SH601939,0.12048979,0.0071942806
SZ000538,0.120451674,0.0151593685
SH600547,0.120423436,-0.017543912
SZ002603,0.120187014,0.047169805
SZ000625,0.12005751,0.021505356
SH688223,0.12000114,-0.009296119
SZ002601,0.11999957,0.011675119
SH601607,0.11984043,-0.019151151
SH600061,0.11982566,0.022222161
SH601628,0.11982283,-0.059022307
SZ002821,0.11980516,-0.0005467534
SH601211,0.1197854,0.0029382706
SZ002180,0.119733125,0.023789287
SH601916,0.119715124,0.003921509
SH688008,0.11958042,-0.010817409
SH600009,0.119541824,-0.021333337
SH688036,0.11953436,0.10071349
SH600584,0.119359896,0.02553904
SZ000792,0.119336635,0.0006431341
SZ002603,0.11931245,-0.039251447
SZ000999,0.119234055,-0.001177907
SH601238,0.11922519,-0.008230448
SZ002271,0.11921547,-0.0049019456
SZ300999,0.11916253,-0.04405284
SZ000157,0.118925735,0.023035288
SZ000983,0.11883913,0.005201578
SZ300661,0.11882812,0.016647577
SZ001979,0.11879131,-0.008264363
SH601398,0.1185969,0.01879704
SZ003816,0.11852315,0.016548395
SZ000661,0.11852132,0.021056771
SZ002459,0.118483916,-0.01181376
SH600754,0.11814672,-0.035656393
SZ002475,0.117997035,0.066037655
SZ300413,0.117979646,0.03285873
SH601111,0.11793862,-0.0065359473
SH601989,0.11792454,0.0021231174
SZ300919,0.11781491,-0.048137426
SH600845,0.11775261,0.02685821
SZ002812,0.11771025,-0.010420978
SH601066,0.117685705,0.01434207
SZ000100,0.11768389,0.03513515
SH601328,0.117597476,0.0015975237
SZ002179,0.1175268,-0.012024641
SZ002821,0.11748169,0.007532954
SH600061,0.11745015,-0.018518507
SZ002736,0.11739667,0.0141175985
SZ000166,0.11739597,0.013274312
SZ000661,0.117286325,-0.030200899
SH600029,0.1172463,-0.0034246445
SH601155,0.11718048,0.0027906895
SH688111,0.117120296,-0.021953285
SH601939,0.11711961,0.0163728
SZ002001,0.11706774,-0.0017231107
SH601009,0.11704013,0.016601562
SH601012,0.11690253,0.012959003
SZ000725,0.116821215,-0.0026246905
SH600938,0.11680958,-0.009073734
SZ002938,0.11679281,-0.020649016
SH601878,0.11668974,-0.04822135
SZ000786,0.11644824,0.0116888285
SH601628,0.11631599,-0.024088502
SH601211,0.11624998,0.004874587
SH600196,0.116143465,0.009874463
SH601888,0.116079316,-0.013632655
SZ002459,0.116044596,0.0019029379
SH601088,0.115988985,0.027854562
SH603195,0.115890265,-0.009313047
SH600026,0.11587924,-0.0056782365
SH600918,0.115813926,0.099726796
SH600010,0.11572993,-0.0136986375
SZ000876,0.11571647,0.014223218
SZ002841,0.11569062,0.08138907
SZ000166,0.11566298,-0.009132385
SH601916,0.11561072,0.020833373
SH601857,0.115581095,-0.012330413
SZ300957,0.1155318,0.021855474
SH603986,0.115483254,-0.029027939
SH601877,0.11539082,0.014842391
SH601336,0.11537653,0.0006889105
SZ002475,0.11537573,-0.019536078
SH600111,0.11535689,0.03233826
SZ000733,0.11532746,0.10006869
SH688599,0.11531933,0.033021808
SH601607,0.11529358,-0.01676482
SZ002601,0.11528893,-0.010723829
SZ002493,0.11527619,-0.0041407347
SH601012,0.115254715,-0.018311739
SZ300308,0.11522062,0.04222417
SZ000338,0.11520596,-0.019094765
SH600111,0.11520122,-0.043194413
SZ300979,0.11515486,0.0072561502
SH600570,0.115141824,0.015437365
SH601225,0.11513524,-0.014138281
SZ301269,0.11511804,0.030534267
SH601360,0.11506334,0.02202642
SH600188,0.11491248,0.016830325
SH600018,0.114830405,-0.025125563
SH600588,0.11482209,-0.021412075
SZ300122,0.114767,-0.010626972
SH600585,0.11470802,0.0
SZ003816,0.114649,0.034764767
SH601186,0.11461687,0.03995788
SH600332,0.11456324,0.007836461
SH600029,0.11455941,0.021739125
SH601698,0.11442256,0.05902767
SH601989,0.11432837,0.009596825
SH601059,0.11408515,0.012300968
SH601628,0.11404376,0.017406702
SH600938,0.11401297,0.0051529408
SH600754,0.114010155,0.007736087
SZ000651,0.11400294,0.03195393
SH600926,0.11399324,-0.0061100125
SH601857,0.113978624,0.010895848
SH601111,0.11380647,0.017789125
SH600085,0.11380531,0.0045745373
SZ000301,0.113773614,-0.0021141768
SH600918,0.113686725,-0.010309279
SZ002916,0.113681495,-0.014408112
SH601117,0.11359994,0.037804842
SH603019,0.11356175,0.09995806
SH600085,0.113527745,0.015733361
SH688363,0.11321667,-0.015886545
SH600176,0.113185614,-0.008501589
SH601799,0.113166764,0.014828682
SH601808,0.112965465,-0.03120935
SH600031,0.11274201,-0.0061624646
SH600588,0.11263864,0.013888836
SH600989,0.11263625,-0.00065487623
SH688008,0.11261758,-0.054585755
SH688363,0.11255956,-0.04214561
SZ300896,0.11250484,0.034688592
SZ002241,0.11242272,0.078517795
SH601225,0.112397134,-0.033120573
SH601336,0.112380296,0.01254952
SH601138,0.112373546,-0.018389702
SZ002202,0.112287655,0.0
SZ000983,0.112268314,0.0023473501
SZ002812,0.112240896,-0.028972328
SZ000725,0.11213444,0.0025252104
SZ002007,0.112118796,-0.016458154
SH603259,0.11210443,-0.008373797
SH601607,0.11208022,0.01853931
SH601808,0.11206436,-0.0018541217
SZ300347,0.112026244,0.010492682
SH603986,0.112002954,0.10003388
SH600674,0.11196159,0.029912114
SZ300124,0.11193964,-0.043364048
SZ000617,0.111934826,-0.018739402
SH601998,0.1119024,0.026470542
SH600039,0.11178297,-0.009333372
SH601138,0.111775115,-0.027819872
SH600028,0.111721516,-0.01105845
SZ300122,0.11168063,-0.05206579
SH601899,0.11166258,-0.0020148158
SH688126,0.11133894,0.039811015
SZ000625,0.11132556,-0.054692686
SH600027,0.111291364,0.0017888546
SZ002594,0.111271665,-0.008501589
SZ000661,0.111189574,-0.011423588
SH603659,0.11118287,-0.007805705
SH688009,0.11113267,0.0
SH688256,0.11104363,0.070636034
SH601318,0.11102481,-0.004889965
SZ300308,0.11096494,0.19998705
SH688012,0.11094257,-0.010251045
