datetime,instrument,score
2024-12-13,SZ300498,0.007755436688142577
2024-12-13,SH600016,0.007451426101261004
2024-12-13,SZ000651,0.006753119057132177
2024-12-13,SH601633,0.006637574687249212
2024-12-13,SZ000568,0.006553269659951538
2024-12-13,SZ002475,0.006523054157848039
2024-12-13,SZ000338,0.0063965692019998166
2024-12-13,SH601728,0.006289623441521384
2024-12-13,SH600018,0.0054885110405274015
2024-12-13,SH601607,0.005395460286432339
2024-12-13,SZ002230,0.005088451246623974
2024-12-13,SH601699,0.004542416176253928
2024-12-13,SH600025,0.00411629212785772
2024-12-13,SH600089,0.004053067059604531
2024-12-13,SZ300454,0.0033042802592058423
2024-12-13,SH601618,0.0031010502202369287
2024-12-13,SH600029,0.002874191491216804
2024-12-13,SZ000768,0.0023244111222799433
2024-12-13,SH600999,0.0017652872027120747
2024-12-13,SH601390,0.0013173282558166714
2024-12-13,SH601988,0.0012775754279349683
2024-12-13,SZ000538,0.001094039582623836
2024-12-13,SH600276,0.0007857795940095825
2024-12-13,SZ002916,0.00037709370528014657
2024-12-13,SZ000876,0.0003710379130912612
2024-12-13,SH600161,9.478324033492644e-05
2024-12-13,SH601169,1.1837615764084147e-05
2024-12-13,SH601898,-0.0009578004613748348
2024-12-13,SH600660,-0.0009608421649197159
2024-12-13,SZ300433,-0.0010938793067645078
2024-12-13,SZ000792,-0.0020647172086344983
2024-12-13,SZ300832,-0.002693999681247724
2024-12-13,SH600941,-0.003326418492616463
2024-12-13,SH603993,-0.0033402067630294
2024-12-13,SH601186,-0.003647289951659709
2024-12-13,SZ000100,-0.004258001185740109
2024-12-13,SH600436,-0.006409023730670352
2024-12-13,SH688223,-0.006860626963404996
2024-12-13,SZ300751,-0.007017860038195115
2024-12-13,SH600900,-0.0070833545758406564
2024-12-13,SZ300919,-0.007389778431166918
2024-12-13,SH601117,-0.007551775581711677
2024-12-13,SH601328,-0.007964876963083635
2024-12-13,SZ002074,-0.008977338282370956
2024-12-13,SZ002252,-0.008982220180209229
2024-12-13,SZ002304,-0.009856741468343496
2024-12-13,SZ000425,-0.010194684960874164
2024-12-13,SH600547,-0.010453361648575922
2024-12-13,SH601877,-0.010830886673825387
2024-12-13,SZ002352,-0.012264280418764859
2024-12-13,SH688008,-0.013912581523922486
2024-12-13,SH600460,-0.014614059289785325
2024-12-13,SZ000733,-0.015027630668320262
